Column Name,Definition
NCT,"National Clinical Trial identifier, a unique identification number assigned to a clinical trial."
PubMed ID,A unique identifier assigned to a clinical trial publication in the PubMed database.
Trial Name,The title or identifier of the clinical trial being referred to in the study.
Author,The name of the person or people responsible for writing or publishing the clinical trial study.
Year,The year in which the clinical trial was published.
Full Pub or Abstract,Indicates whether the study results were fully published or only an abstract is available.
Phase,"The stage or step in the clinical trial process, typically denoted by a Roman numeral (e.g. I, II, III, IV), which defines the scope, objectives, and duration of the trial."
Original/Follow Up,The designation of the clinical trial as either an original study or a follow-up study.
Number of Arms Included,The total count of experimental treatment arms and control arms included in the clinical trial.
Treatment Arm(s),Name of the experimental arm or arms in the clinical trial.
Control Arm,"The name of the arm in the clinical trial that does not receive the experimental treatment, serving as a comparison group."
Class of Agent in Treatment Arm 1,The type or category of therapeutic agent used in the first experimental arm of the clinical trial.
Treatment Arm 1 Regimen,The specific treatment protocol or regimen used in the first experimental arm of the clinical trial.
Total Participants - N,The total number of participants included in the clinical trial.
Treatment Arm - N,The number of participants included in the experimental arm of the clinical trial.
Control Arm - N,The number of participants included in the control arm of the clinical trial.
Median Follow-Up Duration (mo),"The median length of time, measured in months, that participants in the clinical trial were followed up or monitored after the start of the trial."
Median On-Treatment Duration (mo) | Treatment,Median duration in months that participants in the treatment arm of the trial received on-treatment therapy.
Median On-Treatment Duration (mo) | Control,Median duration in months of participants receiving treatment in the control arm of the clinical trial.
Quality of Life reported,Indicates whether the clinical trial reported results on the quality of life of participants.
Quality of Life Scale,"A measure of the participants' overall well-being and satisfaction with their health status, as assessed through a standardized questionnaire or survey, reflecting their perceived quality of life during the clinical trial."
Reporting by prognostic groups - Y/N | Synchronous,"Indicates whether the results of the clinical trial were reported based on prognostic groups with synchronous metastases, where synchronous metastases refers to metastases present at the time of diagnosis of prostate cancer."
Reporting by prognostic groups - Y/N | Metachronous,Indicates whether the results of the clinical trial were reported based on prognostic groups of patients with metachronous diseases (diseases that occur at different times).
Reporting by prognostic groups - Y/N | High volume,"Indicates whether the results of the clinical trial were reported based on prognostic groups with high volume/burden of metastases, with a response of either ""yes"" (Y) or ""no"" (N)."
Reporting by prognostic groups - Y/N | Low volume,"Indicates whether the results were reported based on prognostic groups having a low volume of metastasis, with a yes or no response (Y/N)."
Mode of metastases - N (%) | Synchronous | Treatment,The number and percentage of participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the treatment arm of the clinical trial.
Mode of metastases - N (%) | Synchronous | Control,The number and percentage of participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the control arm of the clinical trial.
Mode of metastases - N (%) | Metachronous | Treatment,Number and percentage of participants with metachronous metastases (metastases that occur after the diagnosis of prostate cancer) in the treatment arm of the clinical trial.
Mode of metastases - N (%) | Metachronous | Control,The number and percentage of patients with metachronous metastases (metastases that occur after the diagnosis of prostate cancer) in the control arm of the clinical trial.
Volume of disease - N (%) | High | Treatment,The number and percentage of participants in the treatment arm of the clinical trial with a high volume or burden of metastatic disease.
Volume of disease - N (%) | High | Control,The number and percentage of participants in the control arm of the clinical trial with high volume/burden metastasis.
Trial,Name of the clinical study or experiment being referenced.
Volume of disease - N (%) | Low | Control,The number and percentage of participants in the control arm of the trial with low volume/burden metastases.
Docetaxel administration - N (%) | Treatment,Percentage of participants in the treatment arm of the clinical trial who received docetaxel before or during the trial.
Docetaxel administration - N (%) | Control,Number and percentage of participants who received docetaxel before or during the trial in the control arm of the clinical trial.
Median Age (years) | Treatment,Median age in years of participants included in the treatment arm of the clinical trial.
Median Age (years) | Control,The median age of participants included in the control arm of the clinical trial.
Race - N (%) | White | Treatment,Number and percentage of participants of White race included in the treatment arm of the clinical trial.
Race - N (%) | White | Control,Number and percentage of control arm participants who identified as White in terms of their racial background.
Race - N (%) | Black or African American | Treatment,Number and percentage of participants identifying as Black or African American in the treatment arm of the clinical trial.
Race - N (%) | Black or African American | Control,Number and percentage of participants identified as Black or African American in the control arm of the clinical trial.
Race - N (%) | Asian | Treatment,The number and percentage of participants in the treatment arm of the clinical trial who are of Asian race.
Race - N (%) | Asian | Control,The number and percentage of participants in the control arm of the trial who identify as Asian.
Race - N (%) | Nat. Hawaiian or Pac. Islander | Treatment,Number and percentage of participants identifying as Native Hawaiian or Pacific Islander in the treatment arm of the clinical trial.
Race - N (%) | Nat. Hawaiian or Pac. Islander | Control,Number and percentage of patients in the control arm of the trial who identify as Native Hawaiian or Pacific Islander by race.
Race - N (%) | Amer. Indian or Alaska Nat. | Treatment,Number and percentage of participants in the treatment arm of the clinical trial who identify as American Indian or Alaska Native by race.
Race - N (%) | Amer. Indian or Alaska Nat. | Control,Number and percentage of participants in the control arm of the trial who identified as American Indian or Alaska Native by race.
Race - N (%) | Other | Treatment,"The number and percentage of participants in the treatment arm of the clinical trial who identified as ""other"" in terms of race."
Race - N (%) | Other | Control,Number and percentage of participants with 'Other' race included in the control arm of the clinical trial.
Race - N (%) | Unknown | Treatment,Number and percentage of participants with unknown race included in the treatment arm of the clinical trial.
Race - N (%) | Unknown | Control,Number and percentage of participants in the control arm of the trial with unknown race.
Region - N (%) | North America | Treatment,Number and percentage of participants from North America included in the treatment arm of the clinical trial.
Region - N (%) | North America | Control,Number and percentage of participants in the control arm of the trial who were from the North America region.
Region - N (%) | South America | Treatment,Number and percentage of participants in the treatment arm of the clinical trial from the South America region.
Region - N (%) | South America | Control,Number and percentage of patients in the control arm of the trial from the South America region.
Region - N (%) | Europe | Treatment,Number and percentage of participants included in the treatment arm of the clinical trial from the Europe region.
Region - N (%) | Europe | Control,Number and percentage of patients in the control arm of the trial from the Europe region.
Region - N (%) | Africa | Treatment,Number and percentage of participants in the treatment arm of the trial who were from the Africa region.
Region - N (%) | Africa | Control,Number and percentage of participants in the control arm of the trial from the Africa region.
Region - N (%) | Asia | Treatment,The number and percentage of participants in the treatment arm of the clinical trial who are from the Asia region.
Region - N (%) | Asia | Control,Number and percentage of patients in the control arm of the trial from the Asian region.
Region - N (%) | Oceania | Treatment,Number and percentage of participants in the treatment arm of the clinical trial who are from the Oceania region.
Region - N (%) | Oceania | Control,Number and percentage of participants in the control arm of the trial from the Oceania region.
PS - N (%) | 0 | Treatment,Number and percentage of participants included in the treatment arm with a Performance Status (PS) score of 0.
PS - N (%) | 0 | Control,The number and percentage of patients with a Performance Status (PS) score of 0 in the control arm of the trial.
PS - N (%) | 1-2 | Treatment,Number and percentage of participants with a Performance Status (PS) score of 1-2 in the treatment arm of the clinical trial.
PS - N (%) | 1-2 | Control,Number and percentage of patients with performance status (PS) score of 1-2 in the control arm of the clinical trial.
Gleason score - N (%) | ≤ 7 | Treatment,Number and percentage of participants included in the treatment arm of the clinical trial with a Gleason score of 7 or less.
Gleason score - N (%) | ≤ 7 | Control,Number and percentage of patients with a Gleason score of 7 or less in the control arm of the trial.
Gleason score - N (%) | ≥ 8 | Treatment,Number and percentage of participants in the treatment arm of the clinical trial with a Gleason score of 8 or higher.
Gleason score - N (%) | ≥ 8 | Control,Number and percentage of patients in the control arm of the clinical trial with a Gleason score of 8 or higher.
Metastases - N (%) | Liver | Treatment,The number and percentage of participants in the treatment arm who developed metastases in the liver.
Metastases - N (%) | Liver | Control,The number and percentage of patients having metastases in the liver in the control arm of the trial.
Metastases - N (%) | Lungs | Treatment,The number and percentage of participants in the treatment arm of the trial who had metastases in the lungs.
Metastases - N (%) | Lungs | Control,The number and percentage of patients with metastases in the lungs in the control arm of the trial.
Metastases - N (%) | Bone | Treatment,Number and percentage of participants in the treatment arm of the clinical trial who have metastases in the bone.
Metastases - N (%) | Bone | Control,The number and percentage of patients showing metastases in the bone in the control arm of the trial.
Metastases - N (%) | Nodal | Treatment,The number and percentage of participants in the treatment arm of the clinical trial who have metastases in the lymph nodes.
Metastases - N (%) | Nodal | Control,The number and percentage of patients showing metastases in the nodal region in the control arm of the trial.
Previous local therapy - N (%) | Prostatectomy | Treatment,The number and percentage of participants in the treatment arm of the trial who received prostatectomy as a previous local therapy.
Previous local therapy - N (%) | Prostatectomy | Control,Number and percentage of patients in the control arm of the trial who received previous local therapy in the form of prostatectomy.
Previous local therapy - N (%) | Orchiectomy | Treatment,Number and percentage of participants who received orchiectomy as a previous local therapy in the treatment arm of the clinical trial.
Previous local therapy - N (%) | Orchiectomy | Control,The number and percentage of patients in the control arm of the trial who received previous local orchiectomy therapy.
Previous local therapy - N (%) | Radiotherapy | Treatment,Number and percentage of participants in the treatment arm who received radiotherapy as previous local therapy.
Previous local therapy - N (%) | Radiotherapy | Control,Number and percentage of patients in the control arm of the trial who received previous local radiotherapy.
Primary Endpoint(s),The main outcome(s) or objective(s) that the clinical trial is designed to measure or achieve.
Secondary Endpoint(s),"The secondary outcome(s) or objective(s) of the clinical trial, in addition to the primary endpoint, that are being measured or evaluated."
ORR - N (%) | Treatment | Overall,Number and percentage of patients showing overall objective response rate (ORR) in the treatment arm of the clinical trial.
ORR - N (%) | Treatment | CR,Number and percentage of participants in the treatment arm who achieved a complete response (CR) as part of the overall response rate (ORR).
ORR - N (%) | Treatment | SD,The number and percentage of participants in the treatment arm of the clinical trial who achieved an Objective Response Rate (ORR) with a best response of Stable Disease (SD).
ORR - N (%) | Treatment | PD,Number and percentage of participants in the treatment arm who achieved an Objective Response Rate (ORR) and had Progressive Disease (PD).
ORR - N (%) | Control | Overall,"The number and percentage of patients in the control arm of the trial who achieved an overall response to treatment, as measured by the overall response rate (ORR)."
ORR - N (%) | Control | CR,Number and percentage of participants in the control arm of the trial who achieved a complete response (CR) in the overall response rate (ORR).
ORR - N (%) | Control | SD,Number and percentage of patients in the control arm of the trial achieving a complete or partial response (Objective Response Rate) with stable disease.
ORR - N (%) | Control | PD,Number and percentage of patients achieving objective response rate (ORR) in the control arm with progressive disease (PD).
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,The number and percentage of patients experiencing adverse events of all causes with a grade of 3 or higher in the treatment arm of the trial.
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,Number and percentage of patients experiencing all-cause adverse events with a grade of 3 or higher in the control arm of the trial.
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,Number and percentage of patients experiencing treatment-related adverse events with a grade of 3 or higher in the treatment arm of the trial.
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,The number and percentage of patients experiencing adverse events that are related to the treatment and have a severity grade of 3 or higher in the control arm of the clinical trial.
Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,The number and percentage of patients showing adverse events that are treatment-related and have a grade of 5 in the treatment arm of the trial.
Adverse Events - N (%) | Treatment-related Grade 5 | Control,The number and percentage of patients experiencing treatment-related adverse events with a grade of 5 in the control arm of the clinical trial.
No. of Deaths - N | Treatment,The number of participants who died in the treatment arm of the clinical trial.
No. of Deaths - N | Control,Number of deaths that occurred in the control arm of the clinical trial.
TTPSA (mo) | Treatment,Time To Progression of Serum Androgen (in months) in the treatment arm of the clinical trial.
TTPSA (mo) | Control,Time to Progressive Serum Androgen (TTPSA) in months for participants in the control arm of the clinical trial.
OS Rate (%) | Overall | Treatment,"Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants, regardless of metastasis type or volume, in the treatment arm of the trial."
OS Rate (%) | Overall | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants in the control arm of the trial.
OS Rate (%) | Synchronous | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the treatment arm of the trial.
OS Rate (%) | Synchronous | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the control arm of the trial.
OS Rate (%) | Metachronous | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with metachronous metastases (metastases that occur at a later time after diagnosis of prostate cancer) in the treatment arm of the trial.
OS Rate (%) | Metachronous | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with metachronous metastases (metastases diagnosed after the diagnosis of prostate cancer) in the control arm of the trial.
OS Rate (%) | High volume | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with high volume/burden metastases (by CHAARTED criteria) in the treatment arm of the trial.
OS Rate (%) | High volume | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with high volume/burden metastases (by CHAARTED criteria) in the control arm of the trial.
OS Rate (%) | Low volume | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with low volume/burden metastases (by CHAARTED criteria) in the treatment arm of the trial.
OS Rate (%) | Low volume | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with low volume/burden metastases (by CHAARTED criteria) in the control arm of the trial.
Median OS (mo) | Overall | Treatment,Median overall survival duration in months of all participants included in the treatment arm of the clinical trial.
Median OS (mo) | Overall | Control,The median overall survival time in months of all participants in the control arm of the clinical trial.
Median OS (mo) | High volume | Treatment,Median overall survival duration in months of participants with high volume/burden metastases in the treatment arm of the clinical trial.
Median OS (mo) | High volume | Control,Median overall survival duration in months for participants with high volume/burden metastases in the control arm of the clinical trial.
Median OS (mo) | Low volume | Treatment,Median overall survival duration in months for participants with low volume/burden metastases in the treatment arm of the clinical trial.
Median OS (mo) | Low volume | Control,Median overall survival time in months for participants with low volume/burden metastases in the control arm of the trial.
PFS Rate (%) | Overall | Treatment,"The hazard ratio with confidence intervals of progression-free survival (PFS) of all comparisons in all participants, regardless of metastasis type or volume, in the treatment arm of the trial."
PFS Rate (%) | Overall | Control,Hazard ratio with confidence intervals of Progression-Free Survival (PFS) of all comparisons in all participants in the control arm of the trial.
Median PFS (mo) | Overall | Treatment,Median progression-free survival duration in months for all participants in the treatment arm of the clinical trial.
Median PFS (mo) | Overall | Control,The median progression-free survival (PFS) in months for all participants in the control arm of the clinical trial.
Median PFS (mo) | High volume | Treatment,Median progression-free survival in months for participants with high volume/burden metastases in the treatment arm of the clinical trial.
Median PFS (mo) | High volume | Control,"The median duration in months of progression-free survival (PFS) in the control arm of the clinical trial, specifically in participants with high volume/burden metastases."
Median PFS (mo) | Low volume | Treatment,Median Progression-Free Survival duration in months for participants with low volume/burden metastases in the treatment arm of the clinical trial.
Median PFS (mo) | Low volume | Control,Median Progression-Free Survival duration in months for patients with low volume/burden metastases in the control arm of the clinical trial.
COE_RCT_IND_OVERALL_RJ,"Overall risk judgment of individual criteria of evidence (COE) in randomized controlled trials (RCT).

Let me know if you'd like me to explain the breakdown of this definition!"
Add-on Treatment,Name of additional therapy or intervention given in combination with the primary treatment in the clinical trial.
Treatment Class,A categorization or classification of the treatment or therapy received by participants in the clinical trial.
Type of Therapy,Description of the type of treatment or intervention provided to participants in the clinical trial.
